Project,D4J ID,Faulty file path,faulty line,FIC_sha,BFIC_sha
Closure,3,src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java,280,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,4,src/com/google/javascript/rhino/jstype/NamedType.java,190,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,6,src/com/google/javascript/jscomp/TypeValidator.java,366,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,10,src/com/google/javascript/jscomp/NodeUtil.java,1417,1a7fbd18b47c102152869c3b046b65ff0f12fc43,915f3c76062ddc6c9d1cc2c6e8e40aedac9089ed
Closure,11,src/com/google/javascript/jscomp/TypeCheck.java,1314,bbf1b138e20a36ca79b2a012ae145c943929a6dd,1aa17f763aadb26bece2f19fd8e9d847d0cb7ba1
Closure,13,src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java,126,e88cd847e5f7f0b0aa23aa3d8860bcf58896fa28,22f3a08e33e1f91980d33705cae024f863d25097
Closure,14,src/com/google/javascript/jscomp/ControlFlowAnalysis.java,767,0a39688562637465944df3c29ae0c1259cc0a4dc,c41e5b19af044fd2d5f9e835addece71c3548edb
Closure,18,src/com/google/javascript/jscomp/Compiler.java,1288,a4c526dae1537f027f429145656ffb849699c1fc,187a77990aeb8028d1f7315add4c8fe56b3d79d9
Closure,20,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,220,208aa65bee67c464bbe5b9bf5e6385b8a06a920f,618bfedc4fcbb138422c91d4f021fe3ba4284f25
Closure,31,src/com/google/javascript/jscomp/Compiler.java,1285,a4c526dae1537f027f429145656ffb849699c1fc,187a77990aeb8028d1f7315add4c8fe56b3d79d9
Closure,38,src/com/google/javascript/jscomp/CodeConsumer.java,245,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,40,src/com/google/javascript/jscomp/NameAnalyzer.java,635,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,46,src/com/google/javascript/rhino/jstype/RecordType.java,141,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,51,src/com/google/javascript/jscomp/CodeConsumer.java,241,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,52,src/com/google/javascript/jscomp/CodeGenerator.java,745,41acde3e8e5e8d37ade765b41d9fd29861f03e5e,9f19220fbd022e8fbcee16d117564d5412e4ffa7
Closure,55,src/com/google/javascript/jscomp/FunctionRewriter.java,117,ebb59a97610015bc41bda7f458dd1428a3a3e335,5cf52d6e6e3d69ae7297d277057e9fe1f34aad36
Closure,57,src/com/google/javascript/jscomp/ClosureCodingConvention.java,197,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,59,src/com/google/javascript/jscomp/Compiler.java,255,c00a33b88d00f3b28787da26e3bb65ae2c1f4893,31134b47a2c5a56410e3097676fee55830dfcb85
Closure,62,src/com/google/javascript/jscomp/LightweightMessageFormatter.java,98,22a1fcd79bd2bfbfdc9e80d5162bdf19065f9e5e,245362ac3a7374a5e3a2ecdd63f6f2a58a4c5cb2
Closure,65,src/com/google/javascript/jscomp/CodeGenerator.java,1015,b88400ce0e9c1a0dadfd3417c256b02a82f38fe1,25827942ba9d45825dfd92faa37a78dbc9034ad0
Closure,67,src/com/google/javascript/jscomp/AnalyzePrototypeProperties.java,317,828828472848b88b6d3b1e847fa8be5dde78e2da,4c1e16ff017e20a6d94803d8e369cf6e9d748a6a
Closure,70,src/com/google/javascript/jscomp/TypedScopeCreator.java,1745,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,71,src/com/google/javascript/jscomp/CheckAccessControls.java,416,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,73,src/com/google/javascript/jscomp/CodeGenerator.java,1045,847b296c23a63aa0a0b38cc3e63883e1688288e3,845f5ff65858fd0d1829f3d2f16f758725e8028f
Closure,78,src/com/google/javascript/jscomp/PeepholeFoldConstants.java,711,b14f33a0c7d07320600acdf732f16f6f52aa999c,c5e143f7df0c3d73f6634488cac8ad8e7054fe05
Closure,86,src/com/google/javascript/jscomp/NodeUtil.java,2465,6a2378d43d1f06344f6418388d45c66fe3466a07,f95797059bdc7b6c4cfc4960081f0773ec85bbf8
Closure,92,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,789,5a3b4cb6b7e816aacd0ffd4c71e23da949fe360d,9d1e18e87a41f2a610ed70f3a1d57abbce7a1cd7
Closure,97,src/com/google/javascript/jscomp/PeepholeFoldConstants.java,698,c9e89727dc8063d087d28e42629606f4fd74a6e5,5f09a76531fb4f6e182238411017e6fc7e74ad16
Closure,101,src/com/google/javascript/jscomp/CommandLineRunner.java,433,e5d3e5e012871b87d2f2a59985bc6522bb571ee2,c080c668a4ccd9eb151cbb4f90980ddbbfbaba44
Closure,102,src/com/google/javascript/jscomp/Normalize.java,94,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,104,src/com/google/javascript/rhino/jstype/UnionType.java,291,1be1c2636ef14071afa7da5cb8988972bd90149f,0f655dc72070acbdcc5fe3a1aecf91c11955c37b
Closure,111,src/com/google/javascript/jscomp/ClosureReverseAbstractInterpreter.java,54,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,113,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,329,87071ddf324c3885361f0375b84e15c7cd62283d,f081cda16ed33d28c6768c67ba55c0e6e4ddc63a
Closure,114,src/com/google/javascript/jscomp/NameAnalyzer.java,578,5a0efdcf1e7b3ba0b999c5575bd54baf4b7ae37e,d635254c9acd4cfd3f4f205d01ed554c061a5ae1
Closure,115,src/com/google/javascript/jscomp/FunctionInjector.java,697,b80dfd3b0e5e4b490b7afb469320d18bac4520b4,b9262dcd42d1b8f53c2a974c182feba2899dc74c
Closure,123,src/com/google/javascript/jscomp/CodeGenerator.java,285,746e26420bb2dde1339a72f15199373ab0182d33,3706221fa9c7bec26ea69889da16b03587838708
Closure,125,src/com/google/javascript/jscomp/TypeCheck.java,1661,bd9c7b620384fe5a98772729001ed56304459bc6,1e1ae5059abd0d42acca1ae0b47ab39c08ca3210
Closure,126,src/com/google/javascript/jscomp/MinimizeExitPoints.java,141,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,130,src/com/google/javascript/jscomp/CollapseProperties.java,172,6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,7e0d71b3d68ad4788a094d8618e2b0aa474cf3db
Closure,131,src/com/google/javascript/rhino/TokenStream.java,199,7ba4542ae58a5a99cbd69ea413a0b74c07b9cae7,6aa71f116df0102a98c463f471ad8ddd4dba01f8
Closure,132,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,782,e4d75597fbd25bab4291efcfd8b36be880258498,632309d68a72a4b9d4973dc21be832adc6a7cc93
