defects4j-lang0,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,396a00b5b8a2eeb71de0ad58fe33141a273ba2d7,a2de60407f650fdf4cce938c993bbf0ba6f8bfcf,Lang-1,Lang-1,Lang-1,Lang-1,Lang-1,defects4j-lang,1
defects4j-lang1,src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,a7e90b2ffa23ab60c7022e2f94a12651b4fb8ec0,b4255e6d071dc8d48bfc51037cecb29097b9a49d,Lang-6,Lang-6,Lang-6,Lang-6,Lang-6,defects4j-lang,1
defects4j-lang2,src/main/java/org/apache/commons/lang3/SystemUtils.java,src/main/java/org/apache/commons/lang3/SystemUtils.java,a45b7e63f2d30c028962292f29c69a006c1532ab,ef9524aed96ca4d195fc390ece625a902fb37f4b,Lang-29,Lang-29,Lang-29,Lang-29,Lang-29,defects4j-lang,1
defects4j-lang3,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,2b3de2ce0c94cb59a7458706a5d365e9f7422242,3f900a7395e31eaa72e0fa2fb43c090e5a8fa4ed,Lang-34,Lang-34,Lang-34,Lang-34,Lang-34,defects4j-lang,1
defects4j-lang4,src/java/org/apache/commons/lang/StringEscapeUtils.java,src/java/org/apache/commons/lang/StringEscapeUtils.java,bf1185e5d96eeb9e6621a6ee20a09d4d96a82749,f03e83e74e8a723fd8c8fffc84cc7faaf9494ab4,Lang-46,Lang-46,Lang-46,Lang-46,Lang-46,defects4j-lang,1
defects4j-lang5,src/java/org/apache/commons/lang/time/FastDateFormat.java,src/java/org/apache/commons/lang/time/FastDateFormat.java,727cb987e4389bd67c74cc5702bbf4b84269bda9,d3015ae73bfbf0ee970199cd6a1e073fbfd9c7ef,Lang-50,Lang-50,Lang-50,Lang-50,Lang-50,defects4j-lang,1
defects4j-lang6,src/java/org/apache/commons/lang/time/DateUtils.java,src/java/org/apache/commons/lang/time/DateUtils.java,c8fc5f3dff9491b076a1f76ed5a2584908b1db4f,bb1671667d9085fb76bd06af7f7ad91d2c1c8389,Lang-53,Lang-53,Lang-53,Lang-53,Lang-53,defects4j-lang,1
defects4j-lang7,src/java/org/apache/commons/lang/time/FastDateFormat.java,src/java/org/apache/commons/lang/time/FastDateFormat.java,5db36decad4ffe41894c81d56021c42f604f31ac,c66659d62dbf69d4c1ccc5c9c50938273436c1b3,Lang-56,Lang-56,Lang-56,Lang-56,Lang-56,defects4j-lang,1
defects4j-lang8,src/java/org/apache/commons/lang/LocaleUtils.java,src/java/org/apache/commons/lang/LocaleUtils.java,2cb189ef3bb4a6b4c4904ab254059fbe13a9e9d9,ddd4f84525178a0722ecbc01229d919d11c526f7,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,defects4j-lang,1
defects4j-lang9,src/java/org/apache/commons/lang/math/NumberUtils.java,src/java/org/apache/commons/lang/math/NumberUtils.java,a8b36a1b04a1f79e45cd28322b372d1e3e2d9b36,61f0f1640387a5e07a4904aa6adec9363ec5e2fc,Lang-58,Lang-58,Lang-58,Lang-58,Lang-58,defects4j-lang,1
defects4j-lang10,src/java/org/apache/commons/lang/text/StrBuilder.java,src/java/org/apache/commons/lang/text/StrBuilder.java,57696acf0979b0d3a6e69639c14acda8b01ded28,dc03d7c8f81fa7933a095e65860078c1e0c595b8,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,defects4j-lang,1
defects4j-lang11,src/java/org/apache/commons/lang/text/StrBuilder.java,src/java/org/apache/commons/lang/text/StrBuilder.java,12796537fc6f3d5d3d3df9fa1027f2f377c30a71,e5bd9a5654ff829b091a5a6c4f8ed6180c3d359b,Lang-60,Lang-60,Lang-60,Lang-60,Lang-60,defects4j-lang,1
defects4j-lang12,src/java/org/apache/commons/lang/text/StrBuilder.java,src/java/org/apache/commons/lang/text/StrBuilder.java,bfedc322198338d37a4a31cd57739bdbf8d556cf,4abacfbf779d2b9ae9dbad8283792ad05f3b84be,Lang-61,Lang-61,Lang-61,Lang-61,Lang-61,defects4j-lang,1
defects4j-lang13,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,d3fe8747fe8d7e9092b7f4d3a0c7f8272d1753e7,14ac91c4a6d86052f0b10922f7e5d312e6e045bf,Lang-63,Lang-63,Lang-63,Lang-63,Lang-63,defects4j-lang,1
